placestate	industry	year	growthdeals
Andover, MA	Information Technology	2003	2
Oakland, CA	Information Technology	2011	1
Westborough, MA	Medical/Health/Life Science	1997	1
Newton, MA	Medical/Health/Life Science	2003	1
Orlando, FL	Information Technology	2016	2
Tampa, FL	Information Technology	2004	2
Richmond, VA	Information Technology	2019	4
Nashville-Davidson, TN	Medical/Health/Life Science	2013	1
Kirkland, WA	Information Technology	1997	1
Phoenix, AZ	Non-High Technology	2000	1
Cary, NC	Information Technology	1995	2
Bothell, WA	Medical/Health/Life Science	1998	3
Richardson, TX	Information Technology	2000	19
South San Francisco, CA	Medical/Health/Life Science	1996	3
Belmont, CA	Information Technology	2018	1
Hillsboro, OR	Information Technology	1994	1
Chicago, IL	Medical/Health/Life Science	1985	1
St. Paul, MN	Information Technology	1995	1
Atlanta, GA	Non-High Technology	1983	1
Hayward, CA	Information Technology	1988	1
Centennial, CO	Information Technology	1995	2
Centennial, CO	Information Technology	1997	3
Pittsburgh, PA	Non-High Technology	1999	1
Chesterbrook, PA	Non-High Technology	2006	1
Los Angeles, CA	Medical/Health/Life Science	2011	2
Watertown Town, MA	Medical/Health/Life Science	2018	1
Fremont, CA	Information Technology	1984	7
Pleasanton, CA	Non-High Technology	2007	1
Sunnyvale, CA	Information Technology	2017	9
King of Prussia, PA	Information Technology	2011	1
Seattle, WA	Medical/Health/Life Science	2007	1
Foster City, CA	Information Technology	2005	4
Somerville, MA	Non-High Technology	2007	1
Jacksonville, FL	Medical/Health/Life Science	1999	1
Santa Clara, CA	Medical/Health/Life Science	1992	1
Campbell, CA	Medical/Health/Life Science	2015	1
Lincoln, NE	Information Technology	2001	1
Westminster, CO	Information Technology	2002	1
Dallas, TX	Medical/Health/Life Science	1999	2
Morrisville, NC	Information Technology	2020	1
New York, NY	Medical/Health/Life Science	2007	3
Chicago, IL	Information Technology	2018	25
West Concord, MA	Medical/Health/Life Science	2012	1
Fremont, CA	Information Technology	1991	2
New York, NY	Non-High Technology	1981	5
Farmers Branch, TX	Information Technology	2010	1
San Francisco, CA	Information Technology	1981	1
Los Angeles, CA	Information Technology	2004	7
Chantilly, VA	Information Technology	1998	5
Fremont, CA	Non-High Technology	2012	1
Atlanta, GA	Information Technology	2003	3
Minnetonka, MN	Information Technology	1984	1
Detroit, MI	Information Technology	2017	3
Fremont, CA	Information Technology	1981	4
Princeton Junction, NJ	Medical/Health/Life Science	2015	1
Wellesley, MA	Information Technology	2000	3
Campbell, CA	Information Technology	2020	2
Beverly Hills, CA	Information Technology	1999	2
Aliso Viejo, CA	Information Technology	2001	1
Torrance, CA	Information Technology	2015	1
Rockville, MD	Medical/Health/Life Science	1982	1
Waltham, MA	Information Technology	2014	4
Charlotte, NC	Medical/Health/Life Science	2001	1
Chicago, IL	Non-High Technology	2018	5
San Mateo, CA	Non-High Technology	1998	1
San Bruno, CA	Medical/Health/Life Science	1992	1
San Jose, CA	Information Technology	2015	24
San Diego, CA	Information Technology	2000	42
Irvine, CA	Information Technology	1981	2
South Plainfield, NJ	Information Technology	1998	1
Raleigh, NC	Non-High Technology	1997	4
Framingham, MA	Medical/Health/Life Science	1994	1
South San Francisco, CA	Medical/Health/Life Science	2018	9
Charlotte, NC	Information Technology	1998	1
Addison, TX	Information Technology	1982	1
Mountain View, CA	Information Technology	2011	36
Carmel, IN	Information Technology	1987	2
Houston, TX	Non-High Technology	1992	2
Gaithersburg, MD	Information Technology	1999	3
Menlo Park, CA	Non-High Technology	1983	1
Baltimore, MD	Medical/Health/Life Science	2005	2
Arlington, VA	Information Technology	2001	1
Tucson, AZ	Medical/Health/Life Science	1997	1
Denver, CO	Information Technology	2008	2
Nashville-Davidson, TN	Medical/Health/Life Science	2004	3
Boston, MA	Medical/Health/Life Science	2005	1
Bellevue, WA	Medical/Health/Life Science	2005	2
San Diego, CA	Medical/Health/Life Science	1987	7
Scottsdale, AZ	Information Technology	2020	1
Cary, NC	Non-High Technology	2001	1
Baltimore, MD	Medical/Health/Life Science	2012	3
Plymouth, MN	Information Technology	1999	2
New Orleans, LA	Non-High Technology	1981	2
Culver City, CA	Information Technology	2018	4
Detroit, MI	Non-High Technology	2012	1
Scottsdale, AZ	Medical/Health/Life Science	2007	1
Pinehurst, MA	Information Technology	2000	2
Florence-Graham, CA	Information Technology	1990	1
Austin, TX	Information Technology	1991	1
Plano, TX	Information Technology	2004	2
Centennial, CO	Non-High Technology	2007	1
King of Prussia, PA	Information Technology	2003	1
Jacksonville, FL	Information Technology	2007	2
Watertown Town, MA	Non-High Technology	1984	1
San Francisco, CA	Medical/Health/Life Science	1997	1
Ann Arbor, MI	Information Technology	2010	2
Nashville-Davidson, TN	Non-High Technology	1994	2
Madison, WI	Information Technology	1999	1
Buffalo, NY	Information Technology	2013	1
Boston, MA	Medical/Health/Life Science	1995	1
Irvine, CA	Medical/Health/Life Science	1983	1
Santa Barbara, CA	Information Technology	2007	1
Nashua, NH	Information Technology	1982	1
Palo Alto, CA	Information Technology	1982	1
Portland, OR	Non-High Technology	2000	1
Plano, TX	Information Technology	2011	2
Memphis, TN	Medical/Health/Life Science	1989	1
Pinehurst, MA	Non-High Technology	1981	1
Lexington, MA	Medical/Health/Life Science	2015	3
Chicago, IL	Non-High Technology	2020	4
Santa Clara, CA	Information Technology	2010	4
Milwaukee, WI	Information Technology	2014	1
Hayward, CA	Information Technology	2001	1
San Diego, CA	Medical/Health/Life Science	1998	15
Sacramento, CA	Information Technology	1998	1
Peachtree Corners, GA	Non-High Technology	2010	1
Redmond, WA	Medical/Health/Life Science	1989	1
Lake Forest, CA	Non-High Technology	2020	1
Beverly Hills, CA	Non-High Technology	2004	1
Santa Ana, CA	Information Technology	2004	3
Florence-Graham, CA	Non-High Technology	2019	3
Beverly, MA	Medical/Health/Life Science	1998	1
Santa Barbara, CA	Information Technology	2008	2
San Diego, CA	Information Technology	2019	18
Beverly Hills, CA	Information Technology	2011	2
Arlington, VA	Non-High Technology	2001	1
San Bruno, CA	Information Technology	2014	2
Santa Monica, CA	Non-High Technology	2017	2
Bethesda, MD	Medical/Health/Life Science	2000	1
Minnetonka, MN	Non-High Technology	2005	1
Pleasanton, CA	Information Technology	1997	7
Cary, NC	Information Technology	1985	1
Ann Arbor, MI	Information Technology	1981	1
Lincoln, NE	Information Technology	1997	1
San Jose, CA	Information Technology	1996	30
Watertown Town, MA	Medical/Health/Life Science	2016	1
Minnetonka, MN	Medical/Health/Life Science	1997	1
Sunnyvale, CA	Information Technology	1996	31
Broomfield, CO	Medical/Health/Life Science	1985	1
Salt Lake City, UT	Medical/Health/Life Science	2007	2
Lake Forest, CA	Information Technology	2001	1
Beverly, MA	Information Technology	1997	1
Fremont, CA	Non-High Technology	2000	1
Orlando, FL	Information Technology	2011	2
Austin, TX	Medical/Health/Life Science	2012	2
Tempe, AZ	Non-High Technology	2006	1
Foster City, CA	Non-High Technology	2019	1
Chicago, IL	Information Technology	2005	5
Hayward, CA	Non-High Technology	1990	1
Santa Clara, CA	Medical/Health/Life Science	1985	1
San Jose, CA	Information Technology	1999	48
Sunnyvale, CA	Non-High Technology	1983	2
Seattle, WA	Medical/Health/Life Science	2003	3
Oklahoma City, OK	Medical/Health/Life Science	2013	3
Palo Alto, CA	Medical/Health/Life Science	2019	6
Waltham, MA	Information Technology	1990	1
Newton, MA	Information Technology	2009	1
Sacramento, CA	Information Technology	2017	2
Tigard, OR	Non-High Technology	2000	1
Lake Forest, CA	Medical/Health/Life Science	2004	1
Gaithersburg, MD	Information Technology	2000	3
El Segundo, CA	Information Technology	1991	1
Tempe, AZ	Information Technology	2003	2
Minneapolis, MN	Medical/Health/Life Science	1981	1
Watertown Town, MA	Non-High Technology	2014	1
Detroit, MI	Non-High Technology	1998	1
Memphis, TN	Medical/Health/Life Science	2012	6
Jersey City, NJ	Non-High Technology	2010	1
Buffalo, NY	Non-High Technology	2002	1
Nashville-Davidson, TN	Information Technology	1995	1
Mountain View, CA	Medical/Health/Life Science	2018	2
Los Altos, CA	Information Technology	2017	7
Ann Arbor, MI	Non-High Technology	2010	2
Newport Beach, CA	Non-High Technology	2019	1
Burlington, MA	Medical/Health/Life Science	2000	2
Minnetonka, MN	Medical/Health/Life Science	1990	1
Waltham, MA	Medical/Health/Life Science	1998	2
Walnut Creek, CA	Medical/Health/Life Science	2017	1
Conshohocken, PA	Non-High Technology	1997	1
Portland, ME	Medical/Health/Life Science	2002	1
Omaha, NE	Medical/Health/Life Science	1996	1
Boulder, CO	Medical/Health/Life Science	1993	1
Addison, TX	Information Technology	2017	1
Kansas City, MO	Information Technology	2020	1
New York, NY	Non-High Technology	2018	31
Framingham, MA	Information Technology	2018	1
Chicago, IL	Information Technology	2017	28
Minneapolis, MN	Medical/Health/Life Science	2006	1
Detroit, MI	Medical/Health/Life Science	2000	1
Campbell, CA	Information Technology	1987	1
Madison, WI	Medical/Health/Life Science	2013	3
Tulsa, OK	Information Technology	2017	1
Charlotte, NC	Information Technology	1981	1
Bellevue, WA	Information Technology	1994	3
Milpitas, CA	Information Technology	1994	2
Alameda, CA	Information Technology	1994	2
Herndon, VA	Non-High Technology	2016	1
Berkeley, CA	Non-High Technology	1999	1
Boulder, CO	Medical/Health/Life Science	2016	2
Brentwood, TN	Information Technology	1998	1
San Jose, CA	Information Technology	2016	8
Portland, OR	Non-High Technology	1986	1
Pittsburgh, PA	Non-High Technology	2019	5
Foster City, CA	Non-High Technology	1986	1
Overland Park, KS	Information Technology	2012	1
Salt Lake City, UT	Non-High Technology	2004	1
Memphis, TN	Information Technology	2013	2
Tampa, FL	Medical/Health/Life Science	2002	1
Philadelphia, PA	Non-High Technology	1988	1
Plymouth, MN	Medical/Health/Life Science	2015	1
Lake Forest, CA	Information Technology	2000	3
Cary, NC	Information Technology	2015	1
Plymouth, MN	Information Technology	2005	1
Pasadena, CA	Information Technology	2010	2
Rochester, NY	Non-High Technology	2006	1
Burlington, MA	Information Technology	1994	2
Pleasanton, CA	Non-High Technology	2008	1
San Carlos, CA	Non-High Technology	2015	1
Waltham, MA	Non-High Technology	2009	1
Reston, VA	Information Technology	2014	8
Nashville-Davidson, TN	Information Technology	2013	14
Redwood City, CA	Medical/Health/Life Science	2019	1
Redwood City, CA	Non-High Technology	2002	1
Columbus, OH	Medical/Health/Life Science	2015	1
Newport Beach, CA	Information Technology	2017	1
Arlington, VA	Medical/Health/Life Science	2010	1
State College, PA	Non-High Technology	2019	1
Washington, DC	Non-High Technology	2016	1
Los Altos, CA	Information Technology	1983	1
Culver City, CA	Information Technology	2014	3
Farmers Branch, TX	Medical/Health/Life Science	2012	1
Orem, UT	Information Technology	1999	1
Portland, OR	Non-High Technology	2018	1
Sacramento, CA	Information Technology	2007	1
Framingham, MA	Information Technology	2019	1
Needham, MA	Information Technology	1985	1
Lexington, MA	Information Technology	1989	1
Redmond, WA	Information Technology	2011	1
Chesterbrook, PA	Non-High Technology	2014	1
State College, PA	Information Technology	2010	1
San Francisco, CA	Medical/Health/Life Science	2010	4
St. Paul, MN	Medical/Health/Life Science	2015	2
Chicago, IL	Medical/Health/Life Science	2007	3
King of Prussia, PA	Information Technology	2008	2
Charlottesville, VA	Medical/Health/Life Science	2017	1
Andover, MA	Information Technology	1988	1
New York, NY	Non-High Technology	2004	5
Hayward, CA	Medical/Health/Life Science	2005	1
Bethesda, MD	Information Technology	2015	1
Longmont, CO	Medical/Health/Life Science	1997	1
Scottsdale, AZ	Information Technology	2005	2
Newport Beach, CA	Information Technology	1998	1
Chicago, IL	Information Technology	2012	21
Needham, MA	Information Technology	1999	1
Richmond, VA	Non-High Technology	1986	1
Santa Monica, CA	Medical/Health/Life Science	2019	1
Burlington, MA	Information Technology	2003	4
Malvern, PA	Medical/Health/Life Science	2009	1
Portland, OR	Information Technology	2006	5
Miami, FL	Information Technology	2014	3
Madison, WI	Information Technology	2008	2
Reston, VA	Medical/Health/Life Science	2008	1
Portland, OR	Medical/Health/Life Science	1991	1
St. Paul, MN	Information Technology	2000	2
Fremont, CA	Medical/Health/Life Science	2011	1
West Hollywood, CA	Information Technology	2020	1
Philadelphia, PA	Medical/Health/Life Science	2005	2
Chicago, IL	Non-High Technology	2010	2
Santa Clara, CA	Non-High Technology	1982	4
Salt Lake City, UT	Non-High Technology	2006	1
Beaverton, OR	Information Technology	1991	1
Alameda, CA	Non-High Technology	2017	1
Palo Alto, CA	Non-High Technology	2018	9
Denver, CO	Information Technology	1990	1
New York, NY	Information Technology	1997	27
Providence, RI	Information Technology	2016	2
Johns Creek, GA	Non-High Technology	2002	2
Palo Alto, CA	Information Technology	2000	40
Alexandria, VA	Non-High Technology	2000	2
Plymouth, MN	Medical/Health/Life Science	2006	2
Wilmington, DE	Information Technology	2000	2
Kansas City, MO	Information Technology	1997	1
Santa Clara, CA	Medical/Health/Life Science	2008	1
St. Louis, MO	Non-High Technology	2013	1
Pinehurst, MA	Information Technology	2015	1
South San Francisco, CA	Information Technology	2014	2
Boston, MA	Non-High Technology	1988	6
Lowell, MA	Information Technology	2016	1
Birmingham, AL	Information Technology	2014	1
Bethesda, MD	Information Technology	2002	2
Baltimore, MD	Non-High Technology	2001	1
Burlington, MA	Information Technology	2007	5
Austin, TX	Non-High Technology	1983	3
Boston, MA	Medical/Health/Life Science	2016	11
New York, NY	Information Technology	2003	15
Scottsdale, AZ	Non-High Technology	1996	1
Jacksonville, FL	Medical/Health/Life Science	1987	1
Fremont, CA	Medical/Health/Life Science	2003	5
Pasadena, CA	Non-High Technology	1994	1
Mountain View, CA	Medical/Health/Life Science	1987	2
Palo Alto, CA	Information Technology	2008	23
Burlingame, CA	Information Technology	1996	2
Princeton Junction, NJ	Medical/Health/Life Science	2017	1
Minnetonka, MN	Information Technology	1996	1
Buffalo, NY	Non-High Technology	1998	1
Boulder, CO	Information Technology	2019	5
Sacramento, CA	Non-High Technology	2020	2
Newark, CA	Medical/Health/Life Science	2007	1
San Mateo, CA	Information Technology	1994	5
Cleveland, OH	Medical/Health/Life Science	2009	2
Reston, VA	Information Technology	1996	1
Austin, TX	Non-High Technology	2017	1
Franklin, TN	Medical/Health/Life Science	1996	1
Boston, MA	Information Technology	1983	8
Kansas City, MO	Information Technology	2008	1
Newton, MA	Information Technology	1986	1
Kansas City, MO	Non-High Technology	2012	1
Beverly Hills, CA	Information Technology	2005	1
Pleasanton, CA	Information Technology	2013	1
Redwood City, CA	Non-High Technology	2015	3
Oklahoma City, OK	Medical/Health/Life Science	2010	1
Palo Alto, CA	Information Technology	2010	21
Herndon, VA	Information Technology	2009	1
Framingham, MA	Non-High Technology	2017	1
Richardson, TX	Medical/Health/Life Science	2011	1
Fort Lauderdale, FL	Medical/Health/Life Science	1999	1
Farmers Branch, TX	Information Technology	1993	1
San Antonio, TX	Information Technology	2017	1
Fort Lauderdale, FL	Medical/Health/Life Science	2015	2
Pittsburgh, PA	Information Technology	2017	14
Salt Lake City, UT	Medical/Health/Life Science	2001	1
Cambridge, MA	Non-High Technology	2009	2
San Antonio, TX	Information Technology	2014	3
Peachtree Corners, GA	Non-High Technology	2007	1
Marlborough, MA	Information Technology	2007	1
Sunnyvale, CA	Non-High Technology	2020	1
Cambridge, MA	Non-High Technology	2019	7
Walnut Creek, CA	Medical/Health/Life Science	1993	1
Norwalk, CT	Information Technology	1996	1
Dallas, TX	Non-High Technology	1999	1
Florence-Graham, CA	Medical/Health/Life Science	1985	1
Boston, MA	Medical/Health/Life Science	2012	3
Foster City, CA	Information Technology	1987	1
Bloomington, MN	Information Technology	2013	1
Houston, TX	Information Technology	2020	7
Goleta, CA	Information Technology	2000	1
King of Prussia, PA	Non-High Technology	2006	2
Shelton, CT	Medical/Health/Life Science	1994	1
Lincoln, NE	Medical/Health/Life Science	2017	1
Austin, TX	Information Technology	2007	15
Waltham, MA	Non-High Technology	1993	1
Santa Ana, CA	Non-High Technology	1983	1
Carlsbad, CA	Non-High Technology	1996	1
Alexandria, VA	Information Technology	2013	1
Philadelphia, PA	Information Technology	2006	2
West Concord, MA	Information Technology	1983	1
Bloomington, MN	Non-High Technology	1990	1
Princeton Junction, NJ	Information Technology	1996	2
Fort Lauderdale, FL	Medical/Health/Life Science	2008	1
Peachtree Corners, GA	Medical/Health/Life Science	1998	1
San Francisco, CA	Information Technology	1995	14
Palo Alto, CA	Non-High Technology	2011	2
St. Louis, MO	Non-High Technology	2006	2
New Haven, CT	Medical/Health/Life Science	2012	2
Lincoln, NE	Medical/Health/Life Science	2019	1
Oakland, CA	Information Technology	2019	8
Los Angeles, CA	Non-High Technology	1992	2
Newark, CA	Medical/Health/Life Science	2001	1
West Concord, MA	Information Technology	1981	2
Pasadena, CA	Information Technology	2012	3
Lexington, MA	Information Technology	2005	4
Houston, TX	Non-High Technology	1996	2
Newport Beach, CA	Information Technology	2000	2
Redwood City, CA	Information Technology	1984	1
Los Altos, CA	Information Technology	1991	2
Seattle, WA	Information Technology	2007	26
Denver, CO	Information Technology	1995	3
Waltham, MA	Information Technology	2009	3
Omaha, NE	Medical/Health/Life Science	2019	1
Milpitas, CA	Information Technology	2002	2
Addison, TX	Non-High Technology	2006	1
Carlsbad, CA	Medical/Health/Life Science	2007	2
San Antonio, TX	Information Technology	2018	1
Palo Alto, CA	Non-High Technology	1992	1
San Mateo, CA	Medical/Health/Life Science	2019	2
Jacksonville, FL	Medical/Health/Life Science	2011	1
Goleta, CA	Medical/Health/Life Science	2014	1
Pittsburgh, PA	Information Technology	2011	14
Minnetonka, MN	Information Technology	2006	1
Roswell, GA	Information Technology	2015	1
Pittsburgh, PA	Non-High Technology	2009	1
Santa Barbara, CA	Non-High Technology	2010	1
Fort Worth, TX	Non-High Technology	2002	1
Cambridge, MA	Non-High Technology	1992	1
Boulder, CO	Medical/Health/Life Science	2012	1
Plano, TX	Information Technology	1985	1
Florence-Graham, CA	Information Technology	2018	5
New Orleans, LA	Non-High Technology	2000	1
San Bruno, CA	Information Technology	2016	1
Salt Lake City, UT	Medical/Health/Life Science	2005	2
Irving, TX	Medical/Health/Life Science	1989	1
San Antonio, TX	Medical/Health/Life Science	1996	2
Beaverton, OR	Information Technology	1987	1
Watertown Town, MA	Information Technology	1988	1
Burlingame, CA	Information Technology	2006	2
Houston, TX	Information Technology	2012	6
San Antonio, TX	Medical/Health/Life Science	1995	1
Seattle, WA	Information Technology	2003	7
Rockville, MD	Medical/Health/Life Science	2019	1
Bellevue, WA	Information Technology	1996	2
Santa Monica, CA	Information Technology	1997	4
San Francisco, CA	Non-High Technology	1983	2
Alameda, CA	Medical/Health/Life Science	2018	1
San Francisco, CA	Information Technology	2004	32
Kirkland, WA	Medical/Health/Life Science	2017	1
Charlotte, NC	Non-High Technology	1996	1
Marlborough, MA	Information Technology	1991	1
Evanston, IL	Information Technology	2018	1
San Carlos, CA	Non-High Technology	2007	1
Houston, TX	Medical/Health/Life Science	1995	2
Overland Park, KS	Information Technology	2016	1
Oakland, CA	Non-High Technology	1999	1
Carlsbad, CA	Information Technology	2020	2
Dallas, TX	Information Technology	2009	1
Alameda, CA	Information Technology	2000	1
San Ramon, CA	Information Technology	2005	2
Minneapolis, MN	Non-High Technology	1988	1
Foster City, CA	Information Technology	2000	1
Baltimore, MD	Information Technology	2007	4
Culver City, CA	Information Technology	2019	4
Chicago, IL	Non-High Technology	1983	5
Santa Barbara, CA	Medical/Health/Life Science	2001	1
Jersey City, NJ	Information Technology	2020	3
Bloomington, MN	Information Technology	1983	3
Richmond, VA	Information Technology	2016	3
Palo Alto, CA	Information Technology	1987	2
Los Altos, CA	Medical/Health/Life Science	1986	3
Columbus, OH	Medical/Health/Life Science	2018	1
King of Prussia, PA	Medical/Health/Life Science	1999	1
Cambridge, MA	Information Technology	2016	11
Bothell, WA	Medical/Health/Life Science	2006	1
South San Francisco, CA	Information Technology	2013	1
Alameda, CA	Medical/Health/Life Science	2005	1
Orem, UT	Information Technology	2013	1
Rockville, MD	Medical/Health/Life Science	2000	2
Boston, MA	Non-High Technology	1984	2
Salt Lake City, UT	Information Technology	2018	2
Boulder, CO	Non-High Technology	2008	3
Lowell, MA	Non-High Technology	2000	1
Louisville, CO	Non-High Technology	1986	1
Charlottesville, VA	Information Technology	2013	1
Pleasanton, CA	Information Technology	2009	1
Kirkland, WA	Non-High Technology	2001	1
San Francisco, CA	Medical/Health/Life Science	1992	1
Santa Clara, CA	Information Technology	1984	8
Reston, VA	Information Technology	1981	1
Kansas City, MO	Information Technology	2018	2
Chicago, IL	Medical/Health/Life Science	2005	1
Ann Arbor, MI	Medical/Health/Life Science	2000	3
New York, NY	Medical/Health/Life Science	2020	23
Woburn, MA	Information Technology	1983	4
Hayward, CA	Medical/Health/Life Science	1999	3
Phoenix, AZ	Information Technology	1984	5
Scottsdale, AZ	Medical/Health/Life Science	2014	1
Tempe, AZ	Non-High Technology	2019	1
Pleasanton, CA	Information Technology	2014	1
Arlington, VA	Information Technology	2010	3
Westminster, CO	Information Technology	2000	3
Burlingame, CA	Non-High Technology	1985	1
Johns Creek, GA	Information Technology	2001	1
Baltimore, MD	Information Technology	2018	3
Irvine, CA	Medical/Health/Life Science	2003	3
Chantilly, VA	Information Technology	2017	1
Peachtree Corners, GA	Information Technology	2011	1
Provo, UT	Information Technology	2011	1
Costa Mesa, CA	Information Technology	1983	2
Boulder, CO	Information Technology	1981	2
Redmond, WA	Medical/Health/Life Science	1990	1
Los Gatos, CA	Non-High Technology	2016	1
Burlington, MA	Information Technology	1995	4
South San Francisco, CA	Medical/Health/Life Science	2010	5
Hayward, CA	Medical/Health/Life Science	1988	2
Tysons Corner, VA	Medical/Health/Life Science	1983	1
Los Angeles, CA	Information Technology	1981	6
Berkeley, CA	Medical/Health/Life Science	2011	1
Omaha, NE	Medical/Health/Life Science	1992	1
Evanston, IL	Information Technology	1988	1
Columbus, OH	Non-High Technology	2006	1
Detroit, MI	Medical/Health/Life Science	2010	1
Rockville, MD	Information Technology	1997	1
Plano, TX	Information Technology	1997	3
Emeryville, CA	Medical/Health/Life Science	1997	1
Farmers Branch, TX	Information Technology	1984	1
Santa Rosa, CA	Information Technology	1981	1
Kansas City, MO	Non-High Technology	1988	2
Jersey City, NJ	Medical/Health/Life Science	2006	1
San Bruno, CA	Information Technology	2007	2
Somerville, MA	Information Technology	2020	3
Franklin, TN	Information Technology	2000	3
San Diego, CA	Information Technology	1989	4
St. Paul, MN	Medical/Health/Life Science	1997	2
Charlotte, NC	Information Technology	2002	4
Indianapolis city, IN	Medical/Health/Life Science	2006	1
Santa Barbara, CA	Non-High Technology	1981	1
Washington, DC	Information Technology	2014	8
Rochester, NY	Non-High Technology	2005	1
Wilmington, DE	Information Technology	2015	2
Milpitas, CA	Information Technology	1995	4
Seattle, WA	Non-High Technology	1987	2
Richardson, TX	Information Technology	1997	3
Stamford, CT	Information Technology	1983	4
Oakland, CA	Non-High Technology	2006	1
Beverly, MA	Medical/Health/Life Science	1996	1
Birmingham, AL	Information Technology	2012	1
Cleveland, OH	Information Technology	2005	2
Burlingame, CA	Medical/Health/Life Science	2020	2
Washington, DC	Information Technology	2012	12
Irvine, CA	Medical/Health/Life Science	2007	5
Chicago, IL	Information Technology	2020	20
Franklin, TN	Information Technology	2016	1
Philadelphia, PA	Information Technology	2019	10
Torrance, CA	Information Technology	1983	1
Philadelphia, PA	Information Technology	2003	2
Austin, TX	Non-High Technology	2009	3
San Carlos, CA	Information Technology	2017	1
Woburn, MA	Medical/Health/Life Science	2001	1
Oklahoma City, OK	Medical/Health/Life Science	2007	1
Hayward, CA	Non-High Technology	2018	1
Tysons Corner, VA	Information Technology	2007	6
Farmers Branch, TX	Information Technology	2001	1
San Mateo, CA	Medical/Health/Life Science	2008	1
Portland, OR	Information Technology	2019	6
Phoenix, AZ	Information Technology	1993	1
Lexington, MA	Information Technology	2011	2
Irvine, CA	Medical/Health/Life Science	1995	3
Fort Lauderdale, FL	Non-High Technology	1998	1
Bloomington, MN	Information Technology	1997	2
Mountain View, CA	Information Technology	2000	34
Wilmington, MA	Information Technology	1999	1
Westborough, MA	Information Technology	1982	1
Santa Monica, CA	Information Technology	2012	22
Alameda, CA	Information Technology	1984	1
Culver City, CA	Information Technology	2007	1
San Diego, CA	Medical/Health/Life Science	2014	7
Gaithersburg, MD	Information Technology	1996	1
Santa Barbara, CA	Information Technology	2019	1
Burlington, MA	Information Technology	2017	2
Franklin, TN	Information Technology	2011	1
Louisville, CO	Information Technology	2007	1
Santa Clara, CA	Information Technology	2019	10
Redwood City, CA	Medical/Health/Life Science	2014	1
Aliso Viejo, CA	Information Technology	2014	1
Miami, FL	Information Technology	1999	4
Beverly, MA	Medical/Health/Life Science	1984	1
Pinehurst, MA	Information Technology	1988	1
Baltimore, MD	Information Technology	2006	1
Cambridge, MA	Medical/Health/Life Science	2006	8
Rochester, NY	Information Technology	2014	1
Seattle, WA	Information Technology	2016	24
Watertown Town, MA	Information Technology	1999	4
Campbell, CA	Information Technology	1995	4
Peachtree Corners, GA	Non-High Technology	2002	2
Durham, NC	Medical/Health/Life Science	2018	2
Tysons Corner, VA	Information Technology	1987	2
Eden Prairie, MN	Medical/Health/Life Science	2008	1
Beverly Hills, CA	Information Technology	2020	1
Redwood City, CA	Information Technology	2018	12
Reston, VA	Information Technology	2012	4
Bethesda, MD	Information Technology	2004	2
Pittsburgh, PA	Information Technology	1986	3
Watertown Town, MA	Information Technology	1981	1
San Jose, CA	Medical/Health/Life Science	1996	2
San Francisco, CA	Information Technology	2014	175
Fort Worth, TX	Medical/Health/Life Science	1995	1
Palo Alto, CA	Information Technology	1992	5
Scottsdale, AZ	Non-High Technology	2004	1
Newton, MA	Information Technology	2010	3
Memphis, TN	Medical/Health/Life Science	2005	2
Sunnyvale, CA	Information Technology	2011	13
Minneapolis, MN	Non-High Technology	1997	2
Bellevue, WA	Information Technology	2000	22
Los Gatos, CA	Information Technology	2000	12
Kansas City, MO	Information Technology	2011	1
Pleasanton, CA	Information Technology	1988	1
Seattle, WA	Non-High Technology	1988	1
Tucson, AZ	Information Technology	2015	1
Shelton, CT	Information Technology	2008	1
San Antonio, TX	Medical/Health/Life Science	2007	1
Belmont, CA	Information Technology	2006	3
Conshohocken, PA	Information Technology	1997	1
Nashville-Davidson, TN	Medical/Health/Life Science	1992	2
Santa Clara, CA	Medical/Health/Life Science	2004	1
Berkeley, CA	Information Technology	2016	2
Brisbane, CA	Medical/Health/Life Science	2002	2
Costa Mesa, CA	Information Technology	1984	1
Horsham, PA	Medical/Health/Life Science	1992	2
Stamford, CT	Information Technology	2016	1
Gaithersburg, MD	Medical/Health/Life Science	2018	1
Malvern, PA	Information Technology	1983	1
New Orleans, LA	Medical/Health/Life Science	2013	1
Salt Lake City, UT	Medical/Health/Life Science	1984	1
Palo Alto, CA	Medical/Health/Life Science	2020	2
Nashville-Davidson, TN	Information Technology	2018	2
Austin, TX	Non-High Technology	2015	6
Washington, DC	Non-High Technology	2007	1
Minneapolis, MN	Information Technology	2004	1
Salt Lake City, UT	Non-High Technology	2009	1
Minnetonka, MN	Medical/Health/Life Science	2002	1
Tysons Corner, VA	Information Technology	1997	3
Denver, CO	Non-High Technology	1981	3
Seattle, WA	Medical/Health/Life Science	1993	1
Philadelphia, PA	Information Technology	2020	6
Tulsa, OK	Non-High Technology	1981	1
Santa Monica, CA	Information Technology	2016	10
Durham, NC	Information Technology	1987	1
Peachtree Corners, GA	Non-High Technology	1989	1
Marlborough, MA	Information Technology	1993	1
San Jose, CA	Medical/Health/Life Science	2013	1
Evanston, IL	Information Technology	2008	1
Cambridge, MA	Medical/Health/Life Science	1988	1
Durham, NC	Information Technology	2012	1
Foster City, CA	Information Technology	2002	2
Wilmington, DE	Medical/Health/Life Science	2018	2
Charlottesville, VA	Information Technology	2015	2
Torrance, CA	Medical/Health/Life Science	1992	1
